month,price
2019M08,181.15
2019M09,189.60
2019M10,199.52
2019M11,203.19
2019M12,210.91
2020M01,224.50
2020M02,215.32
2020M03,209.07
2020M04,218.99
2020M05,205.76
2020M06,198.42
