comp,total_runtime,per_mean,per_std
baseline,0.0679328441619873,0.0017473634920622174,0.00025212275697917734
gradcam_large,0.09358882904052734,0.002454538094369989,4.20617726499622e-05
gradcam_small,0.033052921295166016,0.0008615192614103618,8.309400538098541e-05
gradcam_large_euclidian,0.08786153793334961,0.0023039830358404863,3.89487211012863e-05
gradcam_small_euclidian,0.031805992126464844,0.0008290504154406096,4.7555390270930456e-05
large_adaptive_hoeffding,0.12477707862854004,0.0032233438993755138,4.6932843202334985e-05
large_adaptive_periodic,43.923341512680054,0.0036751784776386464,0.0003902267339844707
