,pred_rnn_a,pred_rnn_b,pred_rnn_c,pred_cnn_a,pred_cnn_b,pred_cnn_c,pred_as01_a,pred_as01_b,pred_as01_c,pred_as02_a,pred_as02_b,pred_as02_c,pred_lstm_a,pred_adaptive_mixture,pred_baseline,pred_gradcam_large,pred_gradcam_small,pred_gradcam_large_euclidian,pred_gradcam_small_euclidian,pred_large_adaptive_hoeffding,pred_large_adaptive_periodic
bike_total_rents,0.3854005336761474,0.4156057834625244,0.4751975536346435,0.1371767520904541,0.1565279960632324,0.1913418769836425,0.3907394409179687,0.4297704696655273,0.5025954246520996,0.2677745819091797,0.269205093383789,0.2731437683105469,0.2120866775512695,0.4584596157073974,2.677452564239502,15.34140968322754,2.3104357719421387,18.703037977218628,2.8684744834899902,16.491989135742188,132.10049510002136
bike_registered,0.3867225646972656,0.4170262813568115,0.4765739440917969,0.1386456489562988,0.156625747680664,0.1917347908020019,0.3910114765167236,0.4265916347503662,0.50537109375,0.2705197334289551,0.2720847129821777,0.2756011486053467,0.2137866020202636,0.4565005302429199,2.67042875289917,14.848183870315552,2.294528722763061,19.713985681533813,2.627021551132202,28.86744737625122,132.4343445301056
bike_temperature,0.3857526779174804,0.444988489151001,0.5010600090026855,0.1389398574829101,0.157092809677124,0.1949257850646972,0.3944194316864013,0.5163500308990479,0.8109092712402344,0.2691314220428467,0.2723836898803711,0.2742617130279541,0.2152786254882812,0.4589266777038574,2.417651891708374,19.173452377319336,2.941237449645996,22.316426277160645,3.204375982284546,21.15887475013733,141.5240228176117
AbnormalHeartbeat,0.4384803771972656,0.4711499214172363,0.5417993068695068,0.1586654186248779,0.1779873371124267,0.2192938327789306,0.444265604019165,0.485347032546997,0.571002721786499,0.3055446147918701,0.3068525791168213,0.3133933544158935,0.2420098781585693,0.5182795524597168,3.415282964706421,17.035043001174927,2.674903631210327,21.849045515060425,3.195666551589966,89.54300022125244,147.16985201835632
CatsDogs,2.573715925216675,2.7475526332855225,8.53232741355896,0.7771832942962646,0.9114096164703368,1.1892032623291016,2.4533257484436035,3.4427032470703125,7.388337135314941,1.7070066928863523,1.761726140975952,1.9694147109985352,1.1857779026031494,2.546023368835449,42.45861268043518,228.4317376613617,29.00133299827576,277.96785020828247,34.2906973361969,231.57884740829468,997.6109409332277
Cricket,0.1688456535339355,0.1819226741790771,0.2105364799499511,0.0603911876678466,0.0684568881988525,0.0844972133636474,0.1708760261535644,0.1865653991699218,0.2205874919891357,0.1178433895111084,0.1184470653533935,0.1207001209259033,0.0943968296051025,0.1993968486785888,0.8655307292938232,5.513822793960571,0.8370087146759033,5.939992189407349,0.975821018218994,5.56279993057251,53.56922674179077
EOGHorizontalSignal,0.1769547462463379,0.1910021305084228,0.2176764011383056,0.0879926681518554,0.0717840194702148,0.0900380611419677,0.1792221069335937,0.1956825256347656,0.2363257408142089,0.1229000091552734,0.1239247322082519,0.1303179264068603,0.0976641178131103,0.2134144306182861,0.8494527339935303,6.606529474258423,0.8802659511566162,7.795084476470947,1.249281883239746,6.710797786712647,61.75084209442139
EthanolConcentration,0.2549352645874023,0.2708327770233154,0.3109462261199951,0.0899441242218017,0.1018927097320556,0.1247701644897461,0.2540338039398193,0.2770962715148926,0.329066514968872,0.1756148338317871,0.176091194152832,0.178779125213623,0.1393778324127197,0.2984974384307861,1.4222557544708252,7.8393237590789795,1.2106108665466309,7.8346357345581055,1.2058844566345217,8.830648422241211,85.46258211135864
Mallat,0.1442708969116211,0.1551063060760498,0.1771297454833984,0.0518407821655273,0.0582189559936523,0.0719141960144043,0.1458745002746582,0.1595227718353271,0.1913502216339111,0.1006326675415039,0.1013908386230468,0.1028101444244384,0.0798718929290771,0.1758873462677002,0.7513141632080078,5.024742841720581,0.8208897113800049,5.213848352432251,0.8184428215026855,23.66418528556824,46.9790153503418
Phoneme,0.1439499855041504,0.1546614170074463,0.17734956741333,0.0517973899841308,0.0583856105804443,0.0717325210571289,0.1450717449188232,0.1594297885894775,0.1873543262481689,0.1000862121582031,0.10093355178833,0.1023786067962646,0.0791981220245361,0.1760027408599853,0.7556138038635254,5.03271222114563,0.8018083572387695,5.461702346801758,0.8779647350311279,5.219063997268677,46.62543225288391
