,pred_rnn_a,pred_rnn_b,pred_rnn_c,pred_cnn_a,pred_cnn_b,pred_cnn_c,pred_as01_a,pred_as01_b,pred_as01_c,pred_as02_a,pred_as02_b,pred_as02_c,pred_lstm_a,pred_adaptive_mixture,pred_baseline,pred_gradcam_large,pred_gradcam_small,pred_gradcam_large_euclidian,pred_gradcam_small_euclidian,pred_large_adaptive_hoeffding,pred_large_adaptive_periodic
bike_total_rents,0.4561085700988769,0.4829161167144775,0.5512268543243408,0.1435251235961914,0.1604037284851074,0.1908211708068847,0.4656181335449219,0.4931137561798095,0.5669894218444824,0.3379392623901367,0.3374552726745605,0.3428263664245605,0.2812480926513672,0.4581732749938965,2.525454044342041,19.39163875579834,2.1202218532562256,21.581530570983887,2.263861656188965,25.358421802520752,201.1063861846924
bike_registered,0.6250913143157959,0.6810104846954346,0.8120968341827393,0.1858839988708496,0.2291774749755859,0.2845475673675537,0.6393225193023682,0.7056946754455566,0.8729755878448486,0.4676365852355957,0.4727938175201416,0.4670922756195068,0.2810065746307373,0.5932142734527588,3.2572834491729736,25.37593722343445,2.6006081104278564,27.343642473220825,2.868234634399414,64.80828785896301,198.8542490005493
bike_temperature,0.6569578647613525,0.7082655429840088,0.8246769905090332,0.1971156597137451,0.2287395000457763,0.2590701580047607,0.5135927200317383,0.5788865089416504,0.8264539241790771,0.4554147720336914,0.4469673633575439,0.4395167827606201,0.281132698059082,0.5959103107452393,3.5903069972991943,28.079411268234253,2.982970714569092,29.77104067802429,3.306101560592652,28.166353464126587,186.0567939281464
AbnormalHeartbeat,0.7441356182098389,0.6764168739318848,0.7282435894012451,0.1754698753356933,0.2131915092468261,0.2863194942474365,0.5652251243591309,0.6350665092468262,0.9902729988098145,0.5447866916656494,0.5483191013336182,0.5540728569030762,0.3234574794769287,0.678541898727417,3.3215079307556152,22.76924586296081,2.700911521911621,28.772167682647705,3.1935832500457764,147.7265238761902,211.44528198242188
CatsDogs,4.240067005157471,4.83056378364563,5.318690776824951,1.104302167892456,1.2985656261444092,1.6466310024261477,4.386365175247192,5.0104079246521,6.92708420753479,2.872188806533813,3.006742715835572,3.0993306636810303,1.8690357208251955,3.387669086456299,46.01283240318298,348.7272644042969,30.836997270584103,347.8502140045166,25.55894136428833,302.7062544822693,1103.3765716552734
Cricket,0.1955735683441162,0.211512804031372,0.2333385944366455,0.0597000122070312,0.0675644874572753,0.0828278064727783,0.1980385780334472,0.2140102386474609,0.2449121475219726,0.1454856395721435,0.1458997726440429,0.1484928131103515,0.1205496788024902,0.1974132061004638,0.7362525463104248,6.729446887969971,0.7787196636199951,6.562307119369507,0.741621732711792,8.91450023651123,71.43563461303711
EOGHorizontalSignal,0.2039902210235595,0.2164614200592041,0.2436034679412841,0.0623667240142822,0.0706536769866943,0.0866608619689941,0.2064437866210937,0.222428560256958,0.2550451755523681,0.1536166667938232,0.1523349285125732,0.1596045494079589,0.1260437965393066,0.2087519168853759,0.8250577449798584,7.770928621292114,0.9224717617034912,8.167461633682251,0.918170690536499,7.73288083076477,69.54026818275452
EthanolConcentration,0.292863130569458,0.3118767738342285,0.3486888408660888,0.0897245407104492,0.1026248931884765,0.122948408126831,0.2952945232391357,0.317767858505249,0.3635537624359131,0.2173047065734863,0.2186543941497802,0.2220079898834228,0.1805868148803711,0.2977714538574219,1.335275411605835,10.320350408554075,1.1337103843688965,10.170714616775513,1.116633653640747,10.738151788711548,99.38067984580994
Mallat,0.1649158000946045,0.175311803817749,0.1979269981384277,0.0509662628173828,0.0574374198913574,0.0696542263031005,0.167177677154541,0.1839301586151123,0.2067227363586425,0.1228551864624023,0.1238436698913574,0.1303968429565429,0.1023740768432617,0.1682338714599609,0.6867022514343262,6.175236701965332,0.662691593170166,6.152471303939819,0.6591649055480957,22.929681301116943,56.16637897491455
Phoneme,0.1659560203552246,0.1766674518585205,0.1977884769439697,0.0509321689605712,0.057600975036621,0.0696592330932617,0.1671304702758789,0.1803243160247802,0.2068521976470947,0.1236312389373779,0.1246783733367919,0.1262068748474121,0.1029343605041503,0.1695680618286132,0.7006068229675293,5.87969970703125,0.6586732864379883,6.369016170501709,0.7146320343017578,5.930685758590698,56.10202026367188
