,method,dataset,inverted_relu,roc_only_best,percentage_empty_rocs,MSE
68,OS-PGSM-Int,weather_4,True,False,0.030303030303030304,1.3028042316436768
69,OS-PGSM-St,weather_4,True,False,0.0,8.75451946258545
70,OS-PGSM-Int,weather_4,False,False,0.030303030303030304,6.116754055023193
71,OS-PGSM-St,weather_4,False,False,0.0,8.826826095581055
72,OS-PGSM-Int,solar_10_minutes_0,True,True,0.9090909090909091,1.7662885189056396
73,OS-PGSM-St,solar_10_minutes_0,True,True,0.9090909090909091,0.7464679479598999
74,OS-PGSM-Int,solar_10_minutes_0,False,True,0.9393939393939394,2.0550451278686523
75,OS-PGSM-St,solar_10_minutes_0,False,True,0.9393939393939394,1.020027756690979
76,OS-PGSM-Int,solar_10_minutes_0,True,False,0.09090909090909091,1.3801409006118774
77,OS-PGSM-St,solar_10_minutes_0,True,False,0.0,2.311614990234375
78,OS-PGSM-Int,solar_10_minutes_0,False,False,0.06060606060606061,4.034404277801514
79,OS-PGSM-St,solar_10_minutes_0,False,False,0.030303030303030304,3.3158860206604004
80,OS-PGSM-Int,solar_10_minutes_1,True,True,0.9090909090909091,1.4025391340255737
81,OS-PGSM-St,solar_10_minutes_1,True,True,0.9393939393939394,0.6162617802619934
82,OS-PGSM-Int,solar_10_minutes_1,False,True,0.9090909090909091,1.3406116962432861
83,OS-PGSM-St,solar_10_minutes_1,False,True,0.9393939393939394,0.7156819701194763
84,OS-PGSM-Int,solar_10_minutes_1,True,False,0.0,0.8924577236175537
85,OS-PGSM-St,solar_10_minutes_1,True,False,0.0,0.9357022047042847
86,OS-PGSM-Int,solar_10_minutes_1,False,False,0.06060606060606061,0.9274781942367554
87,OS-PGSM-St,solar_10_minutes_1,False,False,0.0,5.26601505279541
88,OS-PGSM-Int,solar_10_minutes_2,True,True,0.9393939393939394,0.2586272656917572
89,OS-PGSM-St,solar_10_minutes_2,True,True,0.9393939393939394,0.19874301552772522
90,OS-PGSM-Int,solar_10_minutes_2,False,True,0.9090909090909091,0.2866800129413605
91,OS-PGSM-St,solar_10_minutes_2,False,True,0.9393939393939394,0.19553573429584503
92,OS-PGSM-Int,solar_10_minutes_2,True,False,0.030303030303030304,0.5322673320770264
93,OS-PGSM-St,solar_10_minutes_2,True,False,0.0,1.202608346939087
94,OS-PGSM-Int,solar_10_minutes_2,False,False,0.15151515151515152,1.7072697877883911
95,OS-PGSM-St,solar_10_minutes_2,False,False,0.0,1.4947859048843384
96,OS-PGSM-Int,solar_10_minutes_3,True,True,0.9090909090909091,1.5447789430618286
97,OS-PGSM-St,solar_10_minutes_3,True,True,0.9090909090909091,1.0149091482162476
98,OS-PGSM-Int,solar_10_minutes_3,False,True,0.9090909090909091,1.3671941757202148
99,OS-PGSM-St,solar_10_minutes_3,False,True,0.9090909090909091,1.0609267950057983
100,OS-PGSM-Int,solar_10_minutes_3,True,False,0.0,1.3570914268493652
101,OS-PGSM-St,solar_10_minutes_3,True,False,0.0,2.214181661605835
102,OS-PGSM-Int,solar_10_minutes_3,False,False,0.09090909090909091,2.649134635925293
103,OS-PGSM-St,solar_10_minutes_3,False,False,0.0,2.141850709915161
104,OS-PGSM-Int,solar_10_minutes_4,True,True,0.9393939393939394,0.34757500886917114
105,OS-PGSM-St,solar_10_minutes_4,True,True,0.9090909090909091,0.26724621653556824
106,OS-PGSM-Int,solar_10_minutes_4,False,True,0.9696969696969697,0.3714219927787781
107,OS-PGSM-St,solar_10_minutes_4,False,True,0.9090909090909091,0.3597187399864197
108,OS-PGSM-Int,solar_10_minutes_4,True,False,0.030303030303030304,2.577751874923706
109,OS-PGSM-St,solar_10_minutes_4,True,False,0.0,0.8424527049064636
110,OS-PGSM-Int,solar_10_minutes_4,False,False,0.030303030303030304,1.1471787691116333
111,OS-PGSM-St,solar_10_minutes_4,False,False,0.0,1.2379764318466187
112,OS-PGSM-Int,pedestrian_counts_0,True,True,0.9090909090909091,1.007685899734497
113,OS-PGSM-St,pedestrian_counts_0,True,True,0.9090909090909091,0.47565168142318726
114,OS-PGSM-Int,pedestrian_counts_0,False,True,0.9090909090909091,0.5990689992904663
115,OS-PGSM-St,pedestrian_counts_0,False,True,0.9090909090909091,0.5443888902664185
116,OS-PGSM-Int,pedestrian_counts_0,True,False,0.0,1.1148545742034912
117,OS-PGSM-St,pedestrian_counts_0,True,False,0.0,2.026515483856201
118,OS-PGSM-Int,pedestrian_counts_0,False,False,0.0,0.9381821155548096
119,OS-PGSM-St,pedestrian_counts_0,False,False,0.0,2.114021062850952
120,OS-PGSM-Int,pedestrian_counts_1,True,True,0.9393939393939394,1.5483200550079346
121,OS-PGSM-St,pedestrian_counts_1,True,True,0.9393939393939394,1.3727935552597046
122,OS-PGSM-Int,pedestrian_counts_1,False,True,0.9696969696969697,0.8104197978973389
123,OS-PGSM-St,pedestrian_counts_1,False,True,0.9393939393939394,0.8710622191429138
124,OS-PGSM-Int,pedestrian_counts_1,True,False,0.0,1.8320385217666626
125,OS-PGSM-St,pedestrian_counts_1,True,False,0.0,2.773360252380371
126,OS-PGSM-Int,pedestrian_counts_1,False,False,0.030303030303030304,2.6997811794281006
127,OS-PGSM-St,pedestrian_counts_1,False,False,0.0,2.7311840057373047
128,OS-PGSM-Int,pedestrian_counts_2,True,True,0.9393939393939394,0.918661892414093
129,OS-PGSM-St,pedestrian_counts_2,True,True,0.9393939393939394,0.7886189222335815
130,OS-PGSM-Int,pedestrian_counts_2,False,True,0.9393939393939394,0.918661892414093
131,OS-PGSM-St,pedestrian_counts_2,False,True,0.9090909090909091,0.8339865803718567
132,OS-PGSM-Int,pedestrian_counts_2,True,False,0.12121212121212122,1.0375239849090576
133,OS-PGSM-St,pedestrian_counts_2,True,False,0.0,2.8999481201171875
134,OS-PGSM-Int,pedestrian_counts_2,False,False,0.0,1.043135643005371
135,OS-PGSM-St,pedestrian_counts_2,False,False,0.0,1.423155665397644
136,OS-PGSM-Int,pedestrian_counts_3,True,True,0.9090909090909091,0.203213632106781
137,OS-PGSM-St,pedestrian_counts_3,True,True,0.9090909090909091,0.25967586040496826
138,OS-PGSM-Int,pedestrian_counts_3,False,True,0.9393939393939394,1.7989150285720825
139,OS-PGSM-St,pedestrian_counts_3,False,True,0.9090909090909091,0.21202577650547028
140,OS-PGSM-Int,pedestrian_counts_3,True,False,0.030303030303030304,1.8351713418960571
141,OS-PGSM-St,pedestrian_counts_3,True,False,0.0,1.1388238668441772
142,OS-PGSM-Int,pedestrian_counts_3,False,False,0.030303030303030304,0.5966098308563232
143,OS-PGSM-St,pedestrian_counts_3,False,False,0.0,1.913657546043396
144,OS-PGSM-Int,pedestrian_counts_4,True,True,0.9090909090909091,1.1698049306869507
